BlockId,EventSequence,Label,SequenceLength
blk_4266406262272378011,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_-3396120152506017213,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'd63ef163', 'd63ef163', 'd63ef163', 'dba996ef', 'dba996ef', '2e68ccc3', 'dba996ef']",Anomaly,20
blk_1873255094910695255,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '728076ac', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '40651754', 'bbb51b95', '9c784e29', '5d5de21c', '44614d71', 'dba996ef', '4dec0816']",Anomaly,21
blk_-9037964383978278196,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '0567184d', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '4dec0816']",Anomaly,17
blk_-5387048357551508444,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c']",Normal,13
blk_8079189052508409660,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bcc910df']",Anomaly,4
blk_-6782542465226327576,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_1481900455537141945,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '40651754', '728076ac', '5d5de21c', '5d5de21c', '5d5de21c', 'bbb51b95', '9c784e29', '44614d71', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,21
blk_3998993122839067443,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_-5536556277989005819,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_8665477760806353877,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_-2422951949694601997,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_-4742677645483436110,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_8212905379547777192,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_9154494052593036691,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_1116457585304273874,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_4208297186764355598,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_7917860261241434874,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bcc910df']",Anomaly,4
blk_8142283193114313085,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_3035535936009896720,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', 'd38aa58d', '46003790']",Normal,13
blk_93737232069426335,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '728076ac', '5d5de21c', '40651754', 'bbb51b95', '9c784e29', '5d5de21c', '44614d71', 'dba996ef', '4dec0816']",Anomaly,21
blk_642569383131631102,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790']",Normal,13
blk_5788669408472750946,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_2271144854580363063,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', '0567184d', '0567184d', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '4dec0816']",Anomaly,17
blk_3105465393953878815,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Normal,13
blk_3734167989970851843,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'a333d363', 'a333d363', '4dec0816']",Normal,16
blk_8020046769589634050,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_6020581958434707871,"['3d91fa85', 'bbb51b95']",Anomaly,2
