Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,46977,1,1,55,110,55,55,55.0,0.0,110,110,110.0,0.0,3512.3571109266,42.574025587,46977.0,0.0,46977,46977,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21.2870127935,21.2870127935,55,110,73.3333333333,31.7542648054,1008.3333333333,0,0,0,0,0,0,0,0,1,110.0,55.0,110.0,20,0,0,0,0,0,0,1,55,1,110,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,102215,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,113809.1278,68.48309935,17035.83333,41295.469,101329,5,796,398.0,346.4823228,643,153,102109,34036.33333,58278.43053,101329,5,0,0,0,0,72,92,29.34989972,39.13319963,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
301,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,65372030,16,14,774,4182,429,0,48.375,117.2836305714,1416,0,298.7142857143,510.8495832467,75.8122395771,0.4589118618,2254207.93103448,4109796.7146714,10024736,9,65372030,4358135.33333333,4964658.65281003,10112004,127,65284598,5021892.15384615,5031995.98679061,10118528,48,0,0,0,0,520,456,0.244752993,0.2141588689,0,1416,159.8709677419,369.380178311,136441.716129032,0,0,0,1,0,0,0,0,0,165.2,48.375,298.7142857143,520,0,0,0,0,0,0,16,774,14,4182,29200,247,3,32,142311.0,130936.455962425,409531,87268,10008610.8333333,25538.9771949987,10024736,9960000,BENIGN
80,5061426,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.790291116,1687142.0,2921599.925,5060715,172,5061426,2530713.0,3577963.141,5060715,711,0,0.0,0.0,0,0,0,0,0,0,104,40,0.592718337,0.197572779,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
80,876205,3,5,26,11601,20,0,8.666666667,10.26320288,5755,0,2320.2,2622.947807,13269.72569,9.130283438,125172.1429,326975.4999,866647,37,9289,4644.5,6046.470086,8920,369,876066,219016.5,431774.8456,866647,44,0,0,0,0,72,112,3.423856289,5.706427149,0,5755,1291.888889,2219.676353,4926963.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,31238,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,8003.0731801012,128.0491708816,10412.6666666667,18031.8036350592,31234,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,64.0245854408,64.0245854408,34,91,56.8,31.2201857778,974.7,0,0,0,0,0,0,0,0,1,71.0,34.0,91.0,64,0,0,0,0,0,0,2,68,2,182,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30282,1,1,56,84,56,56,56.0,0.0,84,84,84.0,0.0,4623.2085067037,66.0458358101,30282.0,0.0,30282,30282,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33.022917905,33.022917905,56,84,65.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,98.0,56.0,84.0,20,0,0,0,0,0,0,1,56,1,84,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
9575,98,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,81632.65306,20408.16327,98.0,0.0,98,98,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,10204.08163,10204.08163,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5662817,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.706362222,1887605.667,3268667.699,5661938,121,5662817,2831408.5,4002973.208,5661938,879,0,0.0,0.0,0,0,0,0,0,0,104,40,0.529771667,0.176590556,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
80,5022162,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.796469728,1674054.0,2898777.572,5021274,101,5022162,2511081.0,3549948.985,5021274,888,0,0.0,0.0,0,0,0,0,0,0,104,40,0.597352296,0.199117432,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5335376,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.74971286,1778458.667,3079616.949,5334494,156,5335376,2667688.0,3771433.213,5334494,882,0,0.0,0.0,0,0,0,0,0,0,104,40,0.562284645,0.187428215,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
53,115265,1,1,66,237,66,66,66.0,0.0,237,237,237.0,0.0,2628.7251116991,17.3513208693,115265.0,0.0,115265,115265,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8.6756604347,8.6756604347,66,237,123.0,98.7268960314,9747.0,0,0,0,0,0,0,0,0,1,184.5,66.0,237.0,20,0,0,0,0,0,0,1,66,1,237,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,985272,3,7,26,11601,20,0,8.666666667,10.26320288,4380,0,1657.285714,1561.969346,11800.80222,10.14948156,109474.6667,320353.8962,963555,16,21053,10526.5,14817.4226,21004,49,985170,164195.0,391694.6687,963555,16,0,0,0,0,72,152,3.044844469,7.104637095,0,4380,1057.0,1468.855269,2157535.8,0,0,0,1,0,0,0,0,2,1162.7,8.666666667,1657.285714,72,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
51991,35,1,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,514285.714285714,114285.714285714,11.6666666667,16.7729941672,31,1,0,0.0,0.0,0,0,4,2.0,1.4142135624,3,1,0,0,0,0,32,60,28571.4285714286,85714.2857142857,0,6,3.6,3.286335345,10.8,0,0,0,0,1,0,0,0,3,4.5,0.0,6.0,32,0,0,0,0,0,0,1,0,3,18,974,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5575533,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.7174202,1858511.0,3218272.528,5574652,99,5575533,2787766.5,3941251.271,5574652,881,0,0.0,0.0,0,0,0,0,0,0,104,40,0.53806515,0.17935505,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
53,49854,4,2,168,204,42,42,42.0,0.0,102,102,102.0,0.0,7461.7884221928,120.3514261644,9970.8,14421.0152277848,31506,3,31512,10504.0,18188.2655302808,31506,3,3,3.0,0.0,3,3,0,0,0,0,104,40,80.2342841096,40.1171420548,42,102,59.1428571429,29.2770021885,857.1428571429,0,0,0,0,0,0,0,0,0,69.0,42.0,102.0,104,0,0,0,0,0,0,4,168,2,204,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1142126,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10180.13774,7.880041256,142765.75,396722.2572,1124508,14,16992,8496.0,10882.37336,16191,801,1141973,228394.6,500995.6441,1124508,14,0,0,0,0,72,132,2.626680419,5.253360838,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
7920,48,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,166666.6667,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20833.33333,20833.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,106969,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,108751.1335,65.43951986,17828.16667,43041.62253,105685,23,1152,576.0,45.254834,608,544,106946,35648.66667,60655.6789,105685,87,0,0,0,0,72,92,28.04550851,37.39401135,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
898,73586540,2,2,0,12,0,0,0.0,0.0,6,6,6.0,0.0,0.163073301,0.054357767,24500000.0,42500000.0,73600000,44,73600000,73600000.0,0.0,73600000,73600000,73600000,73600000.0,0.0,73600000,73600000,0,0,0,0,80,40,0.027178884,0.027178884,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,80,0,0,0,0,0,0,2,0,2,12,29200,0,0,40,50.0,0.0,50,50,73600000.0,0.0,73600000,73600000,PortScan
1066,53,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,113207.5472,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18867.92453,18867.92453,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,1114186,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,10440.80611,8.077645923,139273.25,393605.074,1113396,2,609,304.5,403.7579721,590,19,1114162,222832.4,497840.2627,1113396,2,0,0,0,0,72,132,2.692548641,5.385097282,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,82247352,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,141.7310067,0.170218246,6326719.385,22000000.0,79400000,3,82000000,11700000.0,29900000.0,79400000,3,277598,55519.6,112121.615,255371,15,0,0,0,0,172,132,0.097267569,0.072950677,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,2567233.0,0.0,2567233,2567233,79400000.0,0.0,79400000,79400000,DDoS
